"year","countries","ratio_patpep"
1994,"Italy",0.597014925373134
1995,"Italy",0.815217391304348
1996,"Italy",0.961538461538462
1997,"Italy",0.405679513184584
1998,"Italy",NA
1999,"Italy",4.46808510638298
2000,"Italy",1.78926441351889
2001,"Italy",2.73348519362187
2002,"Italy",1.70777988614801
2003,"Italy",0.776699029126214
2004,"Italy",0.552486187845304
2005,"Italy",0.165837479270315
2006,"Italy",0.694444444444444
2007,"Italy",0.625978090766823
2008,"Italy",0.815660685154975
2009,"Italy",1.13085621970921
2010,"Italy",1.83206106870229
2011,"Italy",1.47492625368732
2012,"Italy",2.76073619631902
2013,"Italy",2.00573065902579
2014,"Italy",1.82094081942337
2015,"Italy",1.75695461200586
2016,"Italy",1.9047619047619
2017,"Italy",1.95121951219512
2018,"Italy",1.6260162601626
2019,"Italy",1.92307692307692
2020,"Italy",1.65184243964422
1965,"Japan",NA
1966,"Japan",NA
1967,"Japan",NA
1968,"Japan",NA
1969,"Japan",NA
1970,"Japan",NA
1971,"Japan",NA
1972,"Japan",NA
1973,"Japan",NA
1974,"Japan",NA
1975,"Japan",NA
1976,"Japan",NA
1977,"Japan",NA
1978,"Japan",NA
1979,"Japan",3.33333333333333
1980,"Japan",2.22222222222222
1981,"Japan",8.10810810810811
1982,"Japan",2.85714285714286
1983,"Japan",1.28205128205128
1984,"Japan",0.961538461538462
1985,"Japan",0.819672131147541
1986,"Japan",3.2051282051282
1987,"Japan",3.18181818181818
1988,"Japan",2.7027027027027
1989,"Japan",2.5
1990,"Japan",1.47783251231527
1991,"Japan",2.03488372093023
1992,"Japan",0.459770114942529
1993,"Japan",1.30841121495327
1994,"Japan",0.711237553342816
1995,"Japan",0.637755102040816
1996,"Japan",1.07637109174782
1997,"Japan",1.03092783505155
1998,"Japan",1.52838427947598
1999,"Japan",1.56571899464359
2000,"Japan",1.70229612034838
2001,"Japan",1.7658349328215
2002,"Japan",1.35027799841144
2003,"Japan",1.77537630258587
2004,"Japan",1.45089285714286
2005,"Japan",1.31324835843955
2006,"Japan",2.83333333333333
2007,"Japan",1.578073089701
2008,"Japan",2.16526734423332
2009,"Japan",2.20224719101124
2010,"Japan",3.24892498805542
2011,"Japan",3.61271676300578
2012,"Japan",4.13105413105413
2013,"Japan",3.65251727541955
2014,"Japan",4.98659517426273
2015,"Japan",4.10427066001109
2016,"Japan",3.97008055235903
2017,"Japan",3.74776918500892
2018,"Japan",3.61786319954777
2019,"Japan",4.48018380241241
2020,"Japan",4.00677200902935
1968,"Netherlands",NA
1969,"Netherlands",NA
1970,"Netherlands",NA
1971,"Netherlands",NA
1972,"Netherlands",NA
1973,"Netherlands",NA
1974,"Netherlands",NA
1975,"Netherlands",NA
1976,"Netherlands",NA
1977,"Netherlands",NA
1978,"Netherlands",NA
1979,"Netherlands",NA
1980,"Netherlands",NA
1981,"Netherlands",NA
1982,"Netherlands",NA
1983,"Netherlands",3.03030303030303
1984,"Netherlands",NA
1985,"Netherlands",NA
1986,"Netherlands",NA
1987,"Netherlands",NA
1988,"Netherlands",NA
1989,"Netherlands",1.44927536231884
1990,"Netherlands",0.909090909090909
1991,"Netherlands",1.49253731343284
1992,"Netherlands",0.657894736842105
1993,"Netherlands",0.584795321637427
1994,"Netherlands",0.537634408602151
1995,"Netherlands",1.73160173160173
1996,"Netherlands",0.72463768115942
1997,"Netherlands",2.5830258302583
1998,"Netherlands",3.35570469798658
1999,"Netherlands",6.2043795620438
2000,"Netherlands",4.28015564202335
2001,"Netherlands",7.98479087452472
2002,"Netherlands",5.09803921568627
2003,"Netherlands",2.89855072463768
2004,"Netherlands",1.64473684210526
2005,"Netherlands",2.2508038585209
2006,"Netherlands",5
2007,"Netherlands",0.649350649350649
2008,"Netherlands",1.45772594752187
2009,"Netherlands",3.13390313390313
2010,"Netherlands",3.06748466257669
2011,"Netherlands",4.19161676646707
2012,"Netherlands",4.37956204379562
2013,"Netherlands",2.56410256410256
2014,"Netherlands",6.98254364089776
2015,"Netherlands",6.81265206812652
2016,"Netherlands",5.72916666666667
2017,"Netherlands",7.67123287671233
2018,"Netherlands",7.41626794258373
2019,"Netherlands",6.86274509803922
2020,"Netherlands",8.45771144278607
1985,"South Korea",NA
1988,"South Korea",NA
1989,"South Korea",NA
1990,"South Korea",NA
1991,"South Korea",NA
1992,"South Korea",NA
1993,"South Korea",4
1994,"South Korea",2.22222222222222
1995,"South Korea",NA
1996,"South Korea",NA
1997,"South Korea",1.12994350282486
1998,"South Korea",1.42857142857143
1999,"South Korea",1.6597510373444
2000,"South Korea",0.996677740863787
2001,"South Korea",3.69393139841689
2002,"South Korea",0.845070422535211
2003,"South Korea",2.0460358056266
2004,"South Korea",1.54867256637168
2005,"South Korea",0.739371534195933
2006,"South Korea",2.35081374321881
2007,"South Korea",1.00671140939597
2008,"South Korea",1.26404494382022
2009,"South Korea",1.27064803049555
2010,"South Korea",3.65853658536585
2011,"South Korea",3.16789862724393
2012,"South Korea",2.04498977505112
2013,"South Korea",2.22693531283139
2014,"South Korea",2.68518518518519
2015,"South Korea",4.02097902097902
2016,"South Korea",3.59922178988327
2017,"South Korea",4.40771349862259
2018,"South Korea",4.27272727272727
2019,"South Korea",4.13564929693962
2020,"South Korea",3.95480225988701
1968,"Sweden",NA
1969,"Sweden",NA
1970,"Sweden",NA
1971,"Sweden",NA
1972,"Sweden",NA
1973,"Sweden",NA
1974,"Sweden",NA
1975,"Sweden",NA
1976,"Sweden",NA
1977,"Sweden",NA
1978,"Sweden",NA
1979,"Sweden",NA
1980,"Sweden",NA
1981,"Sweden",NA
1982,"Sweden",NA
1983,"Sweden",NA
1984,"Sweden",7.14285714285714
1985,"Sweden",NA
1986,"Sweden",NA
1987,"Sweden",NA
1988,"Sweden",NA
1989,"Sweden",1.04166666666667
1990,"Sweden",NA
1991,"Sweden",NA
1992,"Sweden",NA
1993,"Sweden",0.467289719626168
1994,"Sweden",NA
1995,"Sweden",0.336700336700337
1996,"Sweden",0.268096514745308
1997,"Sweden",1.12359550561798
1998,"Sweden",2.73224043715847
1999,"Sweden",1.36612021857923
2000,"Sweden",1.32978723404255
2001,"Sweden",4.08163265306122
2002,"Sweden",2.38095238095238
2003,"Sweden",2.46575342465753
2004,"Sweden",1.94986072423398
2005,"Sweden",2.13903743315508
2006,"Sweden",0.789473684210526
2007,"Sweden",1.03626943005181
2008,"Sweden",1.0840108401084
2009,"Sweden",0.804289544235925
2010,"Sweden",3.2967032967033
2011,"Sweden",1.54320987654321
2012,"Sweden",3.08483290488432
2013,"Sweden",2.21606648199446
2014,"Sweden",6.9620253164557
2015,"Sweden",5.08474576271187
2016,"Sweden",5.79268292682927
2017,"Sweden",2.94985250737463
2018,"Sweden",3.80434782608696
2019,"Sweden",3.10077519379845
2020,"Sweden",4.14364640883978
1966,"Switzerland",NA
1967,"Switzerland",NA
1968,"Switzerland",NA
1970,"Switzerland",NA
1971,"Switzerland",NA
1972,"Switzerland",NA
1973,"Switzerland",NA
1974,"Switzerland",NA
1975,"Switzerland",NA
1976,"Switzerland",NA
1977,"Switzerland",NA
1978,"Switzerland",NA
1979,"Switzerland",NA
1980,"Switzerland",NA
1981,"Switzerland",NA
1982,"Switzerland",NA
1983,"Switzerland",NA
1984,"Switzerland",NA
1985,"Switzerland",NA
1986,"Switzerland",NA
1987,"Switzerland",1.25
1988,"Switzerland",0.8
1989,"Switzerland",NA
1990,"Switzerland",0.684931506849315
1991,"Switzerland",1.25786163522013
1992,"Switzerland",1.02040816326531
1993,"Switzerland",1.40845070422535
1994,"Switzerland",1.71821305841924
1995,"Switzerland",0.993377483443709
1996,"Switzerland",1.76991150442478
1997,"Switzerland",1.64383561643836
1998,"Switzerland",3.52941176470588
1999,"Switzerland",3.09597523219814
2000,"Switzerland",2.90322580645161
2001,"Switzerland",7.2289156626506
2002,"Switzerland",3.96825396825397
2003,"Switzerland",3.40909090909091
2004,"Switzerland",2.71186440677966
2005,"Switzerland",4.34782608695652
2006,"Switzerland",4.12371134020619
2007,"Switzerland",4.29042904290429
2008,"Switzerland",5.51470588235294
2009,"Switzerland",4.95049504950495
2010,"Switzerland",7
2011,"Switzerland",6.0702875399361
2012,"Switzerland",5.02793296089385
2013,"Switzerland",8.89570552147239
2014,"Switzerland",6.97674418604651
2015,"Switzerland",6.68789808917197
2016,"Switzerland",8.51063829787234
2017,"Switzerland",9.64285714285714
2018,"Switzerland",8.01393728222996
2019,"Switzerland",7.52351097178683
2020,"Switzerland",11.6923076923077
1965,"United Kingdom",NA
1966,"United Kingdom",NA
1967,"United Kingdom",NA
1968,"United Kingdom",NA
1969,"United Kingdom",NA
1970,"United Kingdom",NA
1971,"United Kingdom",NA
1972,"United Kingdom",NA
1973,"United Kingdom",NA
1974,"United Kingdom",NA
1975,"United Kingdom",NA
1976,"United Kingdom",NA
1977,"United Kingdom",NA
1978,"United Kingdom",NA
1979,"United Kingdom",1.69491525423729
1980,"United Kingdom",NA
1981,"United Kingdom",1.21951219512195
1982,"United Kingdom",1.26582278481013
1983,"United Kingdom",NA
1984,"United Kingdom",3.77358490566038
1985,"United Kingdom",0.75187969924812
1986,"United Kingdom",NA
1987,"United Kingdom",2.11640211640212
1988,"United Kingdom",1.29310344827586
1989,"United Kingdom",1.45454545454545
1990,"United Kingdom",0.588235294117647
1991,"United Kingdom",1.26903553299492
1992,"United Kingdom",0.606060606060606
1993,"United Kingdom",0.496688741721854
1994,"United Kingdom",1.24804992199688
1995,"United Kingdom",2.05655526992288
1996,"United Kingdom",1.26315789473684
1997,"United Kingdom",2.40334378265413
1998,"United Kingdom",3.11871227364185
1999,"United Kingdom",6.91144708423326
2000,"United Kingdom",6.43776824034335
2001,"United Kingdom",7.61099365750529
2002,"United Kingdom",4.53488372093023
2003,"United Kingdom",3.85542168674699
2004,"United Kingdom",1.9672131147541
2005,"United Kingdom",1.99556541019956
2006,"United Kingdom",3.0267753201397
2007,"United Kingdom",1.5748031496063
2008,"United Kingdom",2.05627705627706
2009,"United Kingdom",1.98952879581152
2010,"United Kingdom",4.07488986784141
2011,"United Kingdom",5.20231213872832
2012,"United Kingdom",4.05405405405405
2013,"United Kingdom",3.66259711431743
2014,"United Kingdom",4.67706013363029
2015,"United Kingdom",3.34448160535117
2016,"United Kingdom",3.50282485875706
2017,"United Kingdom",5.62200956937799
2018,"United Kingdom",5.42099192618224
2019,"United Kingdom",6.941431670282
2020,"United Kingdom",5.9375
1964,"United States",NA
1965,"United States",NA
1966,"United States",NA
1967,"United States",NA
1968,"United States",NA
1969,"United States",NA
1970,"United States",NA
1971,"United States",NA
1972,"United States",NA
1973,"United States",NA
1974,"United States",NA
1975,"United States",NA
1976,"United States",NA
1977,"United States",NA
1978,"United States",2.22222222222222
1979,"United States",1.22249388753056
1980,"United States",1.60642570281124
1981,"United States",1.94690265486726
1982,"United States",2.42085661080074
1983,"United States",1.49501661129568
1984,"United States",1.77935943060498
1985,"United States",1.52749490835031
1986,"United States",1.55737704918033
1987,"United States",2.36421725239617
1988,"United States",2.02485043718362
1989,"United States",2.74332957534761
1990,"United States",1.71821305841924
1991,"United States",1.97716513505987
1992,"United States",2.12713936430318
1993,"United States",2.78210549744046
1994,"United States",2.54365983295368
1995,"United States",3.01675977653631
1996,"United States",4.37881873727088
1997,"United States",7.74890419536631
1998,"United States",12.2697368421053
1999,"United States",15.6540385989993
2000,"United States",12.6992656277987
2001,"United States",14.6332404828227
2002,"United States",13.0970724191063
2003,"United States",11.134903640257
2004,"United States",9.12456042939108
2005,"United States",7.92751981879955
2006,"United States",10.5392156862745
2007,"United States",8.42868039664378
2008,"United States",8.15320439893819
2009,"United States",10.3891050583658
2010,"United States",13.3699274652029
2011,"United States",13.4065517894338
2012,"United States",14.3208010580011
2013,"United States",15.0878533231474
2014,"United States",16.5234375
2015,"United States",18.246541903987
2016,"United States",19.2104707620857
2017,"United States",22.8170250109697
2018,"United States",22.1116751269036
2019,"United States",24.1283676703645
2020,"United States",25.956607495069
